team,date,elo_(k=32)_rating,elo_(k=32)_avg_7d,elo_(k=32)_δ7d,elo_(k=32)_avg_30d,elo_(k=32)_δ30d,elo_(k=64)_rating,elo_(k=64)_avg_7d,elo_(k=64)_δ7d,elo_(k=64)_avg_30d,elo_(k=64)_δ30d,glicko_1_rating,glicko_1_μ,glicko_1_σ,glicko_1_δrat.7d,glicko_2_rating,glicko_2_μ,glicko_2_σ,glicko_2_δrat.7d
Army Geniuses,5-7-2022,1086.45,1099.41,-30.55,1050.52,+90.62,1103.28,1142.70,-88.95,1102.87,+59.37,1574.26,1742.62,67.34,-1.19,1570.08,1693.27,49.27,-2.80
Pari Parni,5-7-2022,1006.38,1006.53,-0.31,1013.81,-14.92,1010.67,1010.93,-0.53,1001.46,+11.41,1333.33,1541.82,83.40,-10.99,1569.53,1701.95,52.97,-2.59
TNC Predator,5-7-2022,943.81,942.43,+2.77,928.06,+33.88,933.41,931.77,+3.29,905.22,+60.69,1430.19,1665.60,94.16,-13.64,1568.09,1712.65,57.82,-2.41
PuckChamp,5-7-2022,1010.94,1011.21,-0.54,1010.13,+0.39,1025.96,1026.60,-1.28,1021.13,+5.72,1405.30,1657.52,100.89,-17.96,1566.98,1709.29,56.92,-2.42
HYDRA,5-7-2022,952.36,957.47,-14.34,1008.61,-122.21,924.93,925.97,+2.29,1002.49,-213.47,1515.64,1640.09,49.78,-29.55,1563.33,1664.17,40.33,-15.66
Team Saiyan,5-7-2022,948.41,947.14,+2.55,974.41,-75.87,891.19,888.53,+5.37,934.41,-127.92,1202.56,1476.36,109.52,-22.93,1559.39,1706.63,58.90,-15.75
Coritiba Esports,5-7-2022,921.47,919.54,+3.88,924.32,-16.78,906.25,903.95,+4.63,913.56,-31.05,1428.34,1708.51,112.07,+2.86,1549.89,1684.39,53.80,-2.55
Nemiga Gaming,5-7-2022,916.09,914.04,+4.14,888.43,+14.29,884.03,881.19,+5.72,816.40,+72.22,1607.05,1843.55,94.60,+30.98,1549.64,1671.22,48.63,-2.84
SG esports,5-7-2022,1017.57,1018.00,-0.87,1007.01,+52.65,1054.28,1055.61,-2.68,1038.13,+91.88,1489.72,1716.78,90.82,+30.48,1535.99,1678.34,56.94,-2.41
DGG Esports,5-7-2022,1039.53,999.37,+26.97,1026.62,+51.59,1020.39,971.39,+23.66,1034.92,+49.51,1402.68,1616.22,85.42,+38.67,1535.37,1657.24,48.75,-2.83
Infinity,5-7-2022,1078.62,1079.03,+44.23,1013.76,+98.04,1124.88,1138.80,+54.64,1035.27,+139.00,1436.44,1646.02,83.83,-6.75,1535.20,1660.75,50.22,-2.73
Dreamers Esports,5-7-2022,1007.24,1007.41,-0.36,1000.54,+16.09,1006.30,1006.45,-0.31,995.89,+12.75,1480.71,1741.14,104.17,+19.69,1534.44,1706.50,68.82,+20.81
Ka4kanarskie cyxariki,5-7-2022,1047.93,1067.07,-21.18,1075.88,-,982.65,1069.90,-88.62,1100.78,-,1090.18,1677.72,235.02,-35.09,1520.50,1700.39,71.96,-1.90
Rune Eaters,5-7-2022,1070.70,1091.15,-13.84,1091.15,-,1072.95,1131.18,-59.07,1131.18,-,1452.99,1665.15,84.86,+32.62,1518.35,1695.99,71.05,-1.92
DogChamp,5-7-2022,1015.20,971.01,+70.60,912.39,+119.00,1081.26,1014.44,+111.55,895.73,+227.02,1519.15,1688.09,67.57,-49.45,1513.09,1639.69,50.64,-11.66
Motivate.Trust Gaming,5-7-2022,896.61,912.23,-30.29,915.41,-42.09,872.70,904.60,-64.49,890.98,-54.47,1005.58,1591.89,234.52,-35.17,1512.16,1643.40,52.50,-2.62
Neon Esports,5-7-2022,892.05,890.75,-0.06,915.01,-48.71,860.93,854.41,+10.18,878.17,-50.98,1212.81,1426.12,85.33,-7.91,1504.13,1624.96,48.33,-8.78
Noping VPN,5-7-2022,967.28,966.48,+1.61,977.30,-39.54,949.24,948.00,+2.50,946.50,-26.75,1092.23,1334.34,96.84,-11.18,1502.86,1641.93,55.63,-2.48
Wolf Team,5-7-2022,1072.68,1074.46,-3.59,1074.90,+31.11,1126.23,1129.32,-6.23,1131.93,+48.45,1493.15,1778.55,114.16,+78.74,1499.15,1663.23,65.63,-7.23
Ravens,5-7-2022,979.22,978.71,+1.03,991.21,-40.09,961.92,960.98,+1.88,982.58,-71.39,1478.84,1757.02,111.27,+29.05,1493.32,1671.29,71.19,-1.92
X3,5-7-2022,1014.94,1039.72,-11.67,991.96,+51.51,997.72,1069.94,-74.08,1019.32,+9.84,1450.35,1590.17,55.93,+23.51,1484.66,1602.08,46.97,-2.93
No Monkey Business,5-7-2022,978.09,982.88,-25.82,960.58,-4.83,977.99,992.78,-51.79,938.59,+14.59,1009.59,1601.65,236.83,-34.80,1484.28,1640.86,62.63,-2.19
YNT,5-7-2022,,,-,,-,,,-,,-,1513.63,1697.10,73.39,+49.24,1474.17,1658.90,73.89,+26.90
cybercats,5-7-2022,902.39,900.00,+4.82,891.57,+22.38,838.94,834.99,+7.95,821.09,+36.93,1477.81,1654.26,70.58,-26.66,1466.80,1608.55,56.70,-4.97
HF,5-7-2022,,,-,,-,,,-,,-,1452.35,1682.02,91.87,+137.65,1460.40,1632.23,68.73,+22.57
Team Bald Reborn,5-7-2022,902.95,900.57,+4.79,910.76,-25.35,843.20,839.35,+7.74,856.04,-38.78,1320.23,1551.11,92.35,+92.47,1448.02,1595.51,59.00,+24.33
Ooredoo Thunders,5-7-2022,999.86,980.63,+26.43,984.62,-,1042.78,964.42,+121.29,970.50,-,1411.57,1612.14,80.23,+32.03,1444.29,1592.98,59.48,-2.30
Team Empire,5-7-2022,932.06,930.40,+3.35,952.29,+4.79,874.89,871.83,+6.17,918.53,-1.99,1217.94,1416.75,79.52,+27.26,1438.77,1559.61,48.34,-3.01
Balrogs e-Sport,5-7-2022,943.73,942.35,+2.78,946.27,-24.55,906.24,903.94,+4.63,906.44,-24.87,1140.30,1417.43,110.85,+61.11,1409.52,1565.98,62.59,-2.18
KBU.US,5-7-2022,974.27,973.64,+1.27,966.37,-22.90,954.89,953.79,+2.23,935.79,-51.56,1431.93,1597.54,66.24,+22.88,1398.84,1531.45,53.04,-2.59
5RATFORCESTAFF,5-7-2022,1053.65,1054.97,-2.65,1084.58,-23.98,1038.42,1039.36,-1.90,1105.97,-64.96,1190.87,1500.07,123.68,-8.94,1394.28,1561.74,66.99,-2.04
IVY,5-7-2022,944.40,943.03,+2.74,911.74,+86.50,969.15,968.39,+1.52,910.41,+168.49,1347.81,1580.17,92.94,+47.67,1392.38,1545.39,61.20,-2.24
Gorillaz-Pride,5-7-2022,1043.44,1044.51,-2.14,1034.39,+37.93,1073.52,1075.32,-3.63,1057.74,+63.48,1099.59,1355.11,102.20,+76.34,1389.12,1538.82,59.88,-11.14
The Cut,5-7-2022,850.84,859.01,-8.27,888.67,-79.86,804.91,798.31,+20.79,827.23,-81.80,1198.63,1454.89,102.50,-38.49,1379.95,1518.73,55.51,-2.47
11Monkeyz,5-7-2022,,,-,,-,,,-,,-,1339.89,1516.39,70.60,-19.76,1368.56,1540.09,68.61,-25.71
Eternity,5-7-2022,912.25,910.10,+4.33,902.22,+48.41,895.30,892.74,+5.17,879.82,+109.82,1157.96,1428.13,108.07,+29.47,1361.09,1500.83,55.89,+3.47
Simply TOOBASED,5-7-2022,878.26,875.27,+6.01,866.98,+10.57,825.33,821.05,+8.62,809.37,+13.47,1035.99,1333.27,118.91,-72.69,1339.89,1487.88,59.20,-2.31
Arkosh Gaming,5-7-2022,949.64,948.40,+2.49,933.53,+57.18,960.62,959.66,+1.94,936.77,+99.22,1148.66,1408.11,103.78,+52.84,1324.94,1465.62,56.27,-2.44
felt,5-7-2022,1005.77,1005.91,-0.28,1023.59,-42.79,995.81,995.71,+0.21,1035.74,-117.49,1129.78,1428.70,119.57,+138.52,1284.09,1435.45,60.55,-3.42
Happy Seals,5-7-2022,896.71,945.36,-105.56,1010.73,-157.24,766.27,882.79,-227.52,1001.24,-318.50,1046.60,1284.17,95.03,+26.70,1236.62,1388.81,60.87,+3.44
5ManMidas,5-7-2022,920.41,918.46,+3.93,933.11,-17.42,859.55,856.11,+6.93,887.98,-41.07,1164.33,1458.72,117.75,+208.07,1196.97,1352.24,62.11,+15.88
OG,4-7-2022,1145.78,1149.35,-7.19,1151.75,+17.49,1267.11,1273.66,-13.18,1282.74,+7.32,2007.23,2243.85,94.65,+3.34,1958.98,2076.13,46.86,+1.31
Tundra Esports,4-7-2022,1158.21,1168.92,+8.54,1124.08,+46.70,1236.96,1259.57,+13.36,1177.67,+85.27,1979.98,2190.52,84.21,+20.89,1953.68,2068.25,45.83,-3.04
PSG.LGD,4-7-2022,1187.48,1161.15,+43.06,1152.81,+67.27,1295.43,1230.64,+103.44,1213.00,+137.56,1873.65,2124.61,100.38,+100.85,1945.62,2075.11,51.80,-2.78
Team Aster,4-7-2022,1093.18,1100.74,+2.80,1090.68,+17.34,1121.69,1145.63,-5.66,1130.15,+3.34,2013.21,2254.68,96.59,+78.40,1915.34,2036.00,48.26,+13.38
Royal Never Give Up,4-7-2022,1093.16,1061.40,+70.73,1065.09,-12.01,1175.19,1091.49,+198.37,1066.02,+45.09,2024.61,2251.20,90.64,-0.51,1906.09,2028.39,48.92,-2.81
Team Spirit,4-7-2022,1163.89,1167.91,-8.09,1139.33,+29.47,1253.43,1259.64,-12.51,1196.55,+78.79,1799.90,2056.36,102.58,-60.04,1904.34,2033.59,51.70,-2.69
Xtreme  Gaming,4-7-2022,1094.18,1110.32,-34.48,1118.86,-61.28,1107.70,1144.96,-80.37,1155.11,-118.54,1934.36,2164.25,91.96,-63.91,1897.77,2025.27,51.00,-15.48
TSM FTX,4-7-2022,1095.97,1098.32,-4.74,1111.99,-31.99,1122.12,1125.11,-6.03,1146.81,-46.04,1693.32,1932.43,95.65,-47.38,1875.23,1997.89,49.06,-2.79
Team Liquid,4-7-2022,1134.13,1102.28,+57.93,1091.61,+49.42,1258.95,1193.16,+121.73,1172.26,+82.88,1893.01,2105.72,85.09,+56.83,1859.48,1980.87,48.56,-2.95
BOOM Esports,4-7-2022,1118.90,1144.54,-21.00,1160.39,-61.08,1127.07,1181.00,-39.89,1205.84,-113.93,1901.91,2093.30,76.55,+69.54,1859.01,1978.15,47.66,-2.88
BetBoom Team,4-7-2022,1151.13,1154.83,-7.46,1146.53,-,1247.87,1253.94,-12.23,1249.76,-,1714.43,1948.62,93.68,-12.66,1839.39,2005.32,66.37,-2.06
Evil Geniuses,4-7-2022,1136.89,1140.24,-6.75,1138.84,-3.73,1204.28,1209.28,-10.08,1207.03,-15.20,1749.87,1997.76,99.16,+5.30,1834.47,1966.23,52.70,-0.55
Gaimin Gladiators,4-7-2022,1079.12,1095.69,-82.59,1108.14,-12.74,1085.57,1118.95,-176.08,1163.73,-46.51,1825.23,2000.67,70.18,+87.58,1834.44,1954.56,48.05,-1.96
INVICTUS GAMING,4-7-2022,1037.04,1037.95,-1.83,1029.20,+19.82,1049.49,1050.70,-2.44,1034.81,+34.25,1684.86,1963.01,111.26,+59.73,1832.38,1969.32,54.78,-2.57
Quincy Crew,4-7-2022,1050.54,1051.78,-2.49,1056.88,+2.35,1068.70,1070.39,-3.39,1075.66,+14.70,1890.70,2219.93,131.69,+8.09,1828.52,1974.49,58.39,-2.34
Team Secret,4-7-2022,1010.30,1010.55,-0.51,1013.91,+2.49,1017.13,1017.55,-0.85,1025.51,+5.24,1842.17,2103.51,104.54,+31.63,1826.33,1956.49,52.07,+10.27
Thunder Awaken,4-7-2022,1209.65,1214.79,-10.35,1219.75,+4.43,1295.18,1302.42,-14.57,1306.89,+12.37,1734.52,2015.10,112.23,+107.12,1826.10,1948.60,49.00,+3.38
Entity,4-7-2022,1092.37,1094.63,-4.56,1107.92,-68.24,1118.40,1121.30,-5.84,1138.69,-118.68,1798.12,1991.42,77.32,-56.22,1821.94,1949.68,51.09,+3.31
Vici Gaming,4-7-2022,1033.24,1034.05,-1.64,1018.75,+72.75,1090.05,1092.25,-4.44,1064.10,+147.31,1811.20,2063.58,100.95,-75.56,1820.41,1949.61,51.68,-20.63
Fnatic,4-7-2022,1125.44,1128.51,-6.19,1114.37,+54.88,1221.11,1226.53,-10.91,1196.48,+110.34,1776.31,1983.31,82.80,+18.41,1793.09,1918.71,50.25,-2.86
T1,4-7-2022,1096.20,1098.56,-4.75,1100.12,-14.10,1147.66,1151.28,-7.29,1151.07,-17.73,1738.34,1940.71,80.95,+27.38,1774.83,1896.12,48.51,-2.85
EHOME,4-7-2022,990.51,1000.43,-24.20,1005.09,+19.74,990.36,1012.71,-57.80,1026.62,+45.28,1741.45,1971.89,92.18,+27.89,1773.23,1903.52,52.11,-18.87
beastcoast,4-7-2022,1087.83,1089.98,-4.33,1107.73,-71.15,1134.98,1138.29,-6.66,1164.17,-126.52,1684.64,1904.24,87.84,+3.03,1761.54,1886.62,50.03,-2.75
Nigma Galaxy,4-7-2022,969.86,982.78,-0.73,967.22,+14.76,1012.89,1037.26,+11.65,997.53,+61.74,1692.49,2018.43,130.38,+8.17,1758.47,1896.32,55.14,-2.50
Aster.Aries,4-7-2022,1070.17,1071.89,-3.46,1058.75,+78.93,1118.18,1121.08,-5.83,1099.10,+129.71,1797.50,2056.33,103.53,+206.76,1744.27,1887.31,57.22,+53.25
Natus Vincere,4-7-2022,1011.72,1012.01,-0.58,1019.26,-3.97,1015.95,1016.34,-0.79,1038.67,-17.07,1700.33,1971.71,108.55,-27.82,1734.90,1877.69,57.11,-2.51
Team Magma,4-7-2022,956.74,955.68,+2.13,952.69,-35.08,937.13,935.59,+3.10,927.12,-56.09,1394.90,1653.06,103.26,+50.10,1701.73,1835.52,53.52,+3.95
nouns,4-7-2022,1058.44,1058.19,-,1058.19,-,1123.63,1117.34,-,1117.34,-,1719.83,1953.44,93.44,+76.61,1700.14,1876.01,70.35,-1.94
RSG,4-7-2022,1059.40,1034.86,+12.15,1097.75,-46.29,1071.66,1018.30,+34.57,1139.88,-97.32,1651.72,1917.38,106.26,-90.80,1690.34,1843.91,61.43,-2.23
Team SMG,4-7-2022,964.78,963.91,+1.74,968.92,-34.05,947.70,946.42,+2.58,954.07,-56.45,1669.18,1902.86,93.47,-19.66,1689.14,1823.34,53.68,-2.58
CDEC ,4-7-2022,967.94,967.16,+1.58,964.39,+7.35,957.20,956.15,+2.11,952.46,+9.81,1626.26,1935.86,123.84,+55.44,1682.53,1843.28,64.30,+21.48
Talon,4-7-2022,1071.75,1073.51,-3.54,1081.37,-29.50,1102.82,1105.34,-5.07,1116.60,-42.27,1844.22,2067.70,89.39,+46.18,1682.04,1843.19,64.46,-2.12
One Move,4-7-2022,1105.66,1135.65,-44.95,1158.54,-53.62,1220.36,1192.94,+5.73,1220.43,+4.74,1582.97,1762.68,71.89,+20.92,1676.66,1792.26,46.24,-2.98
Polaris Esports,4-7-2022,1117.17,1091.07,+93.37,1057.25,+71.02,1244.68,1146.52,+227.38,1069.25,+203.68,1698.23,1843.36,58.05,-20.55,1676.13,1790.92,45.92,-3.00
Execration,4-7-2022,1056.32,1072.10,-26.67,1019.49,+91.81,1080.97,1117.58,-76.98,1060.13,+103.56,1733.77,1907.55,69.51,+31.72,1673.84,1791.59,47.10,+6.42
HellRaisers,4-7-2022,1014.31,1014.67,-0.71,1055.19,-75.65,1002.67,1002.74,-0.13,1081.58,-146.10,1641.86,1899.25,102.96,+120.60,1668.77,1808.79,56.01,+13.01
SHENZHEN,4-7-2022,982.00,981.56,+0.89,979.25,+9.93,967.83,967.04,+1.59,965.34,+5.72,1520.76,1766.79,98.41,+33.86,1648.74,1798.76,60.01,-2.28
Infamous U.esports.,4-7-2022,1017.43,1013.37,-18.14,1034.78,-8.61,1055.47,1011.50,+18.51,1056.04,+27.94,1599.11,1792.04,77.17,+25.25,1627.15,1744.98,47.13,-2.96
Nigma Galaxy SEA,4-7-2022,1111.70,1092.03,+30.02,1010.11,+138.15,1121.94,1159.39,-66.74,1037.11,+135.83,1587.51,1839.38,100.75,-98.77,1626.61,1745.97,47.74,-2.88
Hokori,4-7-2022,1066.27,1077.62,-29.98,1078.33,+2.16,1093.32,1113.34,-58.68,1131.53,-45.48,1470.19,1695.76,90.23,-19.91,1617.13,1736.88,47.90,-2.88
Wildcard Gaming,4-7-2022,1110.68,1084.70,+43.88,1033.97,+119.51,1198.13,1153.93,+65.68,1077.24,+187.02,1560.77,1787.86,90.84,+29.69,1613.44,1739.84,50.56,-2.71
Tempest,4-7-2022,1036.21,1037.09,-1.79,1041.83,-13.63,1049.95,1051.18,-2.46,1054.38,-2.29,1553.39,1770.35,86.78,+68.19,1612.92,1744.32,52.56,-2.61
Into The Breach,4-7-2022,992.83,992.66,+0.35,999.10,-55.60,950.60,949.39,+2.44,955.84,-86.61,1512.23,1761.98,99.90,+46.00,1609.80,1752.62,57.13,+11.08
LBZS,4-7-2022,884.82,882.00,+5.68,892.08,-50.77,815.76,811.25,+9.09,834.29,-101.26,1335.97,1585.01,99.62,+16.34,1597.52,1739.63,56.84,+1.00
NO SORRY,4-7-2022,1089.27,1053.14,+22.10,1027.53,+121.48,1099.79,1080.79,-12.39,1050.29,+143.62,1587.17,1717.44,52.11,+4.34,1596.71,1713.14,46.57,+10.80
Alliance,4-7-2022,1047.79,1048.97,-2.36,1045.40,+44.14,1111.93,1114.67,-5.52,1113.67,+46.54,1140.72,1502.01,144.52,+0.17,1593.84,1738.55,57.88,-5.63
Mind Games,4-7-2022,1009.93,1010.18,-0.49,1048.59,-66.22,1008.88,1009.10,-0.44,1064.56,-98.29,1334.33,1620.32,114.39,-2.07,1585.39,1721.96,54.63,-2.52
Brame,4-7-2022,1057.13,1024.48,+80.36,969.89,+78.52,1211.53,1100.74,+205.67,994.82,+203.39,1391.46,1587.49,78.41,-16.30,1581.77,1697.44,46.27,-12.95
Ybb gaming,4-7-2022,951.53,950.34,+2.39,940.61,+14.55,929.48,927.75,+3.48,905.76,+54.26,1364.25,1614.93,100.28,-8.80,1579.11,1730.33,60.49,-13.96
Lilgun ,4-7-2022,920.07,948.74,-76.94,989.38,-104.12,876.10,906.33,-86.06,952.37,-130.77,1565.45,1761.90,78.58,+18.68,1571.88,1692.53,48.26,-2.87
Army Geniuses,4-7-2022,1086.45,1099.41,-30.55,1050.52,+90.62,1103.28,1142.70,-88.95,1102.87,+59.37,1574.26,1742.62,67.34,-1.19,1570.08,1693.27,49.27,-2.80
Pari Parni,4-7-2022,1006.38,1006.53,-0.31,1013.81,-14.92,1010.67,1010.93,-0.53,1001.46,+11.41,1333.33,1541.82,83.40,-10.99,1569.53,1701.95,52.97,-2.59
TNC Predator,4-7-2022,943.81,942.43,+2.77,928.06,+33.88,933.41,931.77,+3.29,905.22,+60.69,1430.19,1665.60,94.16,-13.64,1568.09,1712.65,57.82,-2.41
PuckChamp,4-7-2022,1010.94,1011.21,-0.54,1010.13,+0.39,1025.96,1026.60,-1.28,1021.13,+5.72,1405.30,1657.52,100.89,-17.96,1566.98,1709.29,56.92,-2.42
HYDRA,4-7-2022,952.36,957.47,-14.34,1008.61,-122.21,924.93,925.97,+2.29,1002.49,-213.47,1515.64,1640.09,49.78,-29.55,1563.33,1664.17,40.33,-15.66
Team Saiyan,4-7-2022,948.41,947.14,+2.55,974.41,-75.87,891.19,888.53,+5.37,934.41,-127.92,1202.56,1476.36,109.52,-22.93,1559.39,1706.63,58.90,-15.75
Coritiba Esports,4-7-2022,921.47,919.54,+3.88,924.32,-16.78,906.25,903.95,+4.63,913.56,-31.05,1428.34,1708.51,112.07,+2.86,1549.89,1684.39,53.80,-2.55
Nemiga Gaming,4-7-2022,916.09,914.04,+4.14,888.43,+14.29,884.03,881.19,+5.72,816.40,+72.22,1607.05,1843.55,94.60,+30.98,1549.64,1671.22,48.63,-2.84
SG esports,4-7-2022,1017.57,1018.00,-0.87,1007.01,+52.65,1054.28,1055.61,-2.68,1038.13,+91.88,1489.72,1716.78,90.82,+30.48,1535.99,1678.34,56.94,-2.41
DGG Esports,4-7-2022,1039.53,999.37,+26.97,1026.62,+51.59,1020.39,971.39,+23.66,1034.92,+49.51,1402.68,1616.22,85.42,+38.67,1535.37,1657.24,48.75,-2.83
Infinity,4-7-2022,1078.62,1079.03,+44.23,1013.76,+98.04,1124.88,1138.80,+54.64,1035.27,+139.00,1436.44,1646.02,83.83,-6.75,1535.20,1660.75,50.22,-2.73
Dreamers Esports,4-7-2022,1007.24,1007.41,-0.36,1000.54,+16.09,1006.30,1006.45,-0.31,995.89,+12.75,1480.71,1741.14,104.17,+19.69,1534.44,1706.50,68.82,+20.81
Ka4kanarskie cyxariki,4-7-2022,1047.93,1067.07,-21.18,1075.88,-,982.65,1069.90,-88.62,1100.78,-,1090.18,1677.72,235.02,-35.09,1520.50,1700.39,71.96,-1.90
Rune Eaters,4-7-2022,1070.70,1091.15,-13.84,1091.15,-,1072.95,1131.18,-59.07,1131.18,-,1452.99,1665.15,84.86,+32.62,1518.35,1695.99,71.05,-1.92
DogChamp,4-7-2022,1015.20,971.01,+70.60,912.39,+119.00,1081.26,1014.44,+111.55,895.73,+227.02,1519.15,1688.09,67.57,-49.45,1513.09,1639.69,50.64,-11.66
Motivate.Trust Gaming,4-7-2022,896.61,912.23,-30.29,915.41,-42.09,872.70,904.60,-64.49,890.98,-54.47,1005.58,1591.89,234.52,-35.17,1512.16,1643.40,52.50,-2.62
Neon Esports,4-7-2022,892.05,890.75,-0.06,915.01,-48.71,860.93,854.41,+10.18,878.17,-50.98,1212.81,1426.12,85.33,-7.91,1504.13,1624.96,48.33,-8.78
Noping VPN,4-7-2022,967.28,966.48,+1.61,977.30,-39.54,949.24,948.00,+2.50,946.50,-26.75,1092.23,1334.34,96.84,-11.18,1502.86,1641.93,55.63,-2.48
Wolf Team,4-7-2022,1072.68,1074.46,-3.59,1074.90,+31.11,1126.23,1129.32,-6.23,1131.93,+48.45,1493.15,1778.55,114.16,+78.74,1499.15,1663.23,65.63,-7.23
Ravens,4-7-2022,979.22,978.71,+1.03,991.21,-40.09,961.92,960.98,+1.88,982.58,-71.39,1478.84,1757.02,111.27,+29.05,1493.32,1671.29,71.19,-1.92
X3,4-7-2022,1014.94,1039.72,-11.67,991.96,+51.51,997.72,1069.94,-74.08,1019.32,+9.84,1450.35,1590.17,55.93,+23.51,1484.66,1602.08,46.97,-2.93
No Monkey Business,4-7-2022,978.09,982.88,-25.82,960.58,-4.83,977.99,992.78,-51.79,938.59,+14.59,1009.59,1601.65,236.83,-34.80,1484.28,1640.86,62.63,-2.19
YNT,4-7-2022,,,-,,-,,,-,,-,1513.63,1697.10,73.39,+49.24,1474.17,1658.90,73.89,+26.90
cybercats,4-7-2022,902.39,900.00,+4.82,891.57,+22.38,838.94,834.99,+7.95,821.09,+36.93,1477.81,1654.26,70.58,-26.66,1466.80,1608.55,56.70,-4.97
HF,4-7-2022,,,-,,-,,,-,,-,1452.35,1682.02,91.87,+137.65,1460.40,1632.23,68.73,+22.57
Team Bald Reborn,4-7-2022,902.95,900.57,+4.79,910.76,-25.35,843.20,839.35,+7.74,856.04,-38.78,1320.23,1551.11,92.35,+92.47,1448.02,1595.51,59.00,+24.33
Ooredoo Thunders,4-7-2022,999.86,980.63,+26.43,984.62,-,1042.78,964.42,+121.29,970.50,-,1411.57,1612.14,80.23,+32.03,1444.29,1592.98,59.48,-2.30
Team Empire,4-7-2022,932.06,930.40,+3.35,952.29,+4.79,874.89,871.83,+6.17,918.53,-1.99,1217.94,1416.75,79.52,+27.26,1438.77,1559.61,48.34,-3.01
Balrogs e-Sport,4-7-2022,943.73,942.35,+2.78,946.27,-24.55,906.24,903.94,+4.63,906.44,-24.87,1140.30,1417.43,110.85,+61.11,1409.52,1565.98,62.59,-2.18
KBU.US,4-7-2022,974.27,973.64,+1.27,966.37,-22.90,954.89,953.79,+2.23,935.79,-51.56,1431.93,1597.54,66.24,+22.88,1398.84,1531.45,53.04,-2.59
5RATFORCESTAFF,4-7-2022,1053.65,1054.97,-2.65,1084.58,-23.98,1038.42,1039.36,-1.90,1105.97,-64.96,1190.87,1500.07,123.68,-8.94,1394.28,1561.74,66.99,-2.04
IVY,4-7-2022,944.40,943.03,+2.74,911.74,+86.50,969.15,968.39,+1.52,910.41,+168.49,1347.81,1580.17,92.94,+47.67,1392.38,1545.39,61.20,-2.24
Gorillaz-Pride,4-7-2022,1043.44,1044.51,-2.14,1034.39,+37.93,1073.52,1075.32,-3.63,1057.74,+63.48,1099.59,1355.11,102.20,+76.34,1389.12,1538.82,59.88,-11.14
The Cut,4-7-2022,850.84,859.01,-8.27,888.67,-79.86,804.91,798.31,+20.79,827.23,-81.80,1198.63,1454.89,102.50,-38.49,1379.95,1518.73,55.51,-2.47
11Monkeyz,4-7-2022,,,-,,-,,,-,,-,1339.89,1516.39,70.60,-19.76,1368.56,1540.09,68.61,-25.71
Eternity,4-7-2022,912.25,910.10,+4.33,902.22,+48.41,895.30,892.74,+5.17,879.82,+109.82,1157.96,1428.13,108.07,+29.47,1361.09,1500.83,55.89,+3.47
Simply TOOBASED,4-7-2022,878.26,875.27,+6.01,866.98,+10.57,825.33,821.05,+8.62,809.37,+13.47,1035.99,1333.27,118.91,-72.69,1339.89,1487.88,59.20,-2.31
Arkosh Gaming,4-7-2022,949.64,948.40,+2.49,933.53,+57.18,960.62,959.66,+1.94,936.77,+99.22,1148.66,1408.11,103.78,+52.84,1324.94,1465.62,56.27,-2.44
felt,4-7-2022,1005.77,1005.91,-0.28,1023.59,-42.79,995.81,995.71,+0.21,1035.74,-117.49,1129.78,1428.70,119.57,+138.52,1284.09,1435.45,60.55,-3.42
Happy Seals,4-7-2022,896.71,945.36,-105.56,1010.73,-157.24,766.27,882.79,-227.52,1001.24,-318.50,1046.60,1284.17,95.03,+26.70,1236.62,1388.81,60.87,+3.44
5ManMidas,4-7-2022,920.41,918.46,+3.93,933.11,-17.42,859.55,856.11,+6.93,887.98,-41.07,1164.33,1458.72,117.75,+208.07,1196.97,1352.24,62.11,+15.88
OG,3-7-2022,1145.78,1149.35,-7.19,1151.75,+17.49,1267.11,1273.66,-13.18,1282.74,+7.32,2003.89,2241.77,95.15,+22.34,1957.67,2072.80,46.05,+5.90
Tundra Esports,3-7-2022,1158.21,1168.92,+8.54,1124.08,+46.70,1236.96,1259.57,+13.36,1177.67,+85.27,1959.09,2176.38,86.92,+34.30,1956.72,2068.25,44.61,-0.65
PSG.LGD,3-7-2022,1187.48,1161.15,+43.06,1152.81,+67.27,1295.43,1230.64,+103.44,1213.00,+137.56,1772.80,2037.40,105.84,-23.38,1948.40,2075.11,50.68,-18.35
Xtreme  Gaming,3-7-2022,1094.18,1110.32,-34.48,1118.86,-61.28,1107.70,1144.96,-80.37,1155.11,-118.54,1998.27,2263.48,106.09,+143.69,1913.26,2040.86,51.04,+36.98
Royal Never Give Up,3-7-2022,1093.16,1061.40,+70.73,1065.09,-12.01,1175.19,1091.49,+198.37,1066.02,+45.09,2025.12,2279.01,101.56,+83.76,1908.90,2028.39,47.79,+13.23
Team Spirit,3-7-2022,1163.89,1167.91,-8.09,1139.33,+29.47,1253.43,1259.64,-12.51,1196.55,+78.79,1859.94,2136.96,110.81,+27.08,1907.02,2033.59,50.63,+5.29
Team Aster,3-7-2022,1093.18,1100.74,+2.80,1090.68,+17.34,1121.69,1145.63,-5.66,1130.15,+3.34,1934.82,2194.29,103.79,-42.23,1901.95,2022.05,48.04,-14.53
TSM FTX,3-7-2022,1095.97,1098.32,-4.74,1111.99,-31.99,1122.12,1125.11,-6.03,1146.81,-46.04,1740.70,1996.63,102.37,+10.62,1878.02,1997.89,47.95,-1.32
